customer_id,first_name,last_name,age,email,phone_number,address,city,state,postal_code,country,account_balance,monthly_payment,contract_length,data_usage,voice_usage,text_usage,plan_type,device_type,device_brand,device_model,customer_since,last_payment_date,churned,customer_rating,customer_complaints,customer_satisfaction,customer_engagement,customer_lifetime_value,customer_segment,customer_referral,customer_loyalty
11,Junina,Berthomier,24,jberthomiera@opera.com,967-649-7718,71 Troy Street,Otoka,,,Bosnia and Herzegovina,Marka,Lek,15,67.68,192.23,178.32,prepaid,feature phone,Samsung,Pixel 4,8/14/2013,2/6/2020,true,5,4,1,63.34,Ruble,high-value,false,true
12,Mord,Sinnocke,47,msinnockeb@toplist.cz,848-173-6846,64 Fieldstone Way,Huangsha,,,China,Yuan Renminbi,Franc,2,8.27,868.73,6.22,family,tablet,Motorola,V40 ThinQ,10/8/2016,4/13/2021,true,4,0,1,65.97,Dinar,medium-value,true,true
13,Shana,Vanezis,68,svanezisc@mit.edu,619-941-3053,07 Loftsgordon Alley,Jomboy,,,Uzbekistan,Som,Yuan Renminbi,18,89.97,825.43,967.47,family,smartphone,Motorola,V40 ThinQ,10/29/2018,4/13/2021,false,1,1,3,20.08,Baht,low-value,false,false
14,Blondy,McGinnis,51,bmcginnisd@istockphoto.com,209-746-4984,59565 Tennyson Crossing,Fangshan,,,China,Yuan Renminbi,Dong,18,80.7,731.41,243.6,family,tablet,Apple,V40 ThinQ,1/9/2010,9/25/2020,true,4,5,8,2.96,Yuan Renminbi,medium-value,true,true
15,Howard,Cusack,35,hcusacke@nps.gov,324-760-3940,40337 Dorton Center,Presidente Dutra,,65760-000,Brazil,Real,Yen,17,36.82,651.29,925.83,postpaid,smartphone,LG,Galaxy S10,10/25/2019,11/6/2021,false,4,9,10,37.29,Rupiah,medium-value,true,false
16,Moore,Adolphine,21,madolphinef@sogou.com,447-646-0557,158 Susan Way,Gabi,,0930,Philippines,Peso,Euro,21,90.14,77.96,47.72,family,tablet,LG,V40 ThinQ,3/31/2010,10/29/2020,true,4,9,6,66.11,Ringgit,high-value,false,true
17,Matt,Wittke,51,mwittkeg@hatena.ne.jp,329-419-8131,3096 Cardinal Point,Ajdabiya,,,Libya,Dinar,Franc,23,79.55,133.88,455.39,postpaid,tablet,Google,V40 ThinQ,10/30/2011,12/13/2021,true,4,5,1,33.89,Shekel,medium-value,true,true
18,Cozmo,Durtnall,40,cdurtnallh@earthlink.net,771-268-4424,217 Mayfield Place,Kisangani,,,Democratic Republic of the Congo,Franc,Sol,15,90.47,749.04,545.5,prepaid,feature phone,Google,Galaxy S10,2/21/2013,4/19/2021,true,5,4,5,33.67,Yuan Renminbi,low-value,true,false
19,Leta,Kilner,30,lkilneri@ocn.ne.jp,149-108-4916,5045 Shelley Park,Yangju,,,South Korea,Won,Kuna,14,20.4,605.44,467.67,prepaid,smartphone,Motorola,V40 ThinQ,2/22/2016,11/23/2020,true,1,5,9,19.49,Sol,medium-value,true,false
20,Timothy,Bruntjen,61,tbruntjenj@discovery.com,217-270-4680,21 Nevada Hill,Lancheng,,,China,Yuan Renminbi,Euro,11,84.5,540.19,531.52,family,tablet,LG,Galaxy S10,2/10/2018,5/14/2020,false,3,10,8,10.57,Ruble,low-value,true,false
21,Boris,Munden,74,bmundenk@ehow.com,810-628-0230,4 Westend Plaza,Hisings Kärra,Västra Götaland,425 33,Sweden,Krona,Real,1,96.68,292.57,947.62,family,smartphone,LG,Pixel 4,1/29/2017,4/16/2020,false,5,0,9,52.44,Peso,low-value,true,true
22,Winna,Bonevant,62,wbonevantl@digg.com,566-199-5227,9 Logan Alley,Guaitarilla,,525508,Colombia,Peso,Yuan Renminbi,13,23.96,260.24,361.65,prepaid,tablet,Google,iPhone X,1/3/2019,12/11/2020,false,2,4,4,53.85,Real,medium-value,true,true
23,Emily,Amori,34,eamorim@europa.eu,911-722-5835,761 Banding Circle,Extrema,,37640-000,Brazil,Real,Ruble,14,98.92,741.02,56.34,family,feature phone,Samsung,iPhone X,5/24/2018,5/2/2020,true,5,4,8,57.35,Rial,high-value,true,false
24,Suzann,Magne,58,smagnen@nymag.com,704-373-7697,1 Melby Pass,Oliveira do Conde,Viseu,3430-345,Portugal,Euro,Boliviano,16,30.27,567.73,793.94,postpaid,tablet,Apple,Galaxy S10,12/9/2013,10/15/2021,false,5,5,7,56.48,Yuan Renminbi,high-value,false,false
25,Friederike,Elsby,79,felsbyo@ifeng.com,447-199-8422,364 Walton Road,Pinggan,,,Indonesia,Rupiah,Krona,20,78.93,91.3,266.1,postpaid,tablet,Apple,V40 ThinQ,3/26/2019,5/1/2021,false,5,0,5,24.12,Yuan Renminbi,medium-value,true,true
26,Aime,Stert,24,astertp@patch.com,522-898-6506,4 Golf Center,Ranao,,3526,Philippines,Peso,Yuan Renminbi,19,65.3,291.29,305.24,prepaid,tablet,Google,iPhone X,2/19/2021,10/25/2020,true,3,9,8,12.46,Euro,low-value,true,true
27,Nananne,Jindacek,49,njindacekq@stanford.edu,943-928-6159,9504 Hanson Court,Stryszawa,,34-205,Poland,Zloty,Euro,5,27.96,208.16,446.13,postpaid,tablet,Samsung,Galaxy S10,9/27/2016,1/19/2021,true,4,9,1,82.74,Real,high-value,true,true
28,Pamella,Hughill,31,phughillr@ovh.net,655-713-1648,5406 Fallview Park,Särö,Halland,429 42,Sweden,Krona,Peso,8,10.92,986.28,242.97,prepaid,tablet,Google,Pixel 4,7/1/2013,7/19/2021,true,5,4,9,46.92,Yuan Renminbi,medium-value,true,true
29,Leonanie,Ferens,29,lferenss@cdc.gov,918-829-6887,2642 Tony Road,Seremban,Negeri Sembilan,70536,Malaysia,Ringgit,Real,16,39.08,663.74,163.77,family,smartphone,Apple,V40 ThinQ,9/18/2020,12/22/2020,true,1,3,3,62.08,Yuan Renminbi,low-value,false,true
30,Eadie,Punch,39,epuncht@thetimes.co.uk,574-319-2337,37516 Harbort Point,Ouro Sogui,,,Senegal,Franc,Yuan Renminbi,11,94.24,394.19,540.0,prepaid,tablet,Google,iPhone X,1/15/2011,3/28/2021,false,1,4,4,37.62,Euro,medium-value,false,true
31,Mathe,Fielden,49,mfieldenu@china.com.cn,595-914-0450,5020 International Terrace,Solna,Stockholm,171 78,Sweden,Krona,Rupiah,4,29.14,121.87,852.68,family,smartphone,LG,iPhone X,10/27/2016,6/4/2020,false,1,1,10,0.9,Tenge,medium-value,true,false
32,Dorry,Mayes,49,dmayesv@nytimes.com,654-404-4533,675 Trailsway Hill,Ishimbay,,453209,Russia,Ruble,Peso,2,59.8,177.76,31.05,postpaid,smartphone,Motorola,Galaxy S10,1/30/2010,5/9/2021,true,4,2,10,28.34,Yuan Renminbi,high-value,true,true
33,Terrye,Hancock,36,thancockw@va.gov,528-279-4583,05174 Washington Terrace,Tierralta,,234518,Colombia,Peso,Euro,24,60.41,460.9,592.17,family,feature phone,Samsung,V40 ThinQ,10/16/2017,3/29/2020,true,2,3,7,83.58,Dollar,high-value,false,false
34,Shepherd,Monkhouse,20,smonkhousex@1und1.de,706-230-7376,637 Village Road,Phetchaburi,,76150,Thailand,Baht,Yuan Renminbi,23,16.96,130.17,972.57,postpaid,smartphone,Apple,Pixel 4,4/28/2012,8/23/2021,false,5,10,7,31.21,Euro,medium-value,true,false
35,Katlin,Lossman,61,klossmany@constantcontact.com,719-663-9444,4 Iowa Court,Sukhobuzimskoye,,663040,Russia,Ruble,Ruble,15,54.53,738.21,566.94,postpaid,tablet,Samsung,V40 ThinQ,9/21/2021,6/17/2021,true,5,5,2,41.25,Yuan Renminbi,low-value,false,false
36,Candida,Lammers,56,clammersz@plala.or.jp,131-554-3692,9 Hazelcrest Crossing,Sumberkemuning,,,Indonesia,Rupiah,Euro,6,50.28,829.76,224.43,prepaid,tablet,Google,V40 ThinQ,12/27/2013,10/25/2021,false,3,5,7,16.14,Yuan Renminbi,low-value,false,false
37,Kinnie,Yakushkin,81,kyakushkin10@biglobe.ne.jp,393-985-6340,51949 Heffernan Court,Lujing Zhen,,,China,Yuan Renminbi,Peso,7,7.26,26.88,810.16,prepaid,feature phone,Google,V40 ThinQ,12/13/2021,3/9/2021,true,2,5,4,56.14,Peso,high-value,true,false
38,Chuck,Murrill,54,cmurrill11@yellowpages.com,445-742-4372,2436 Everett Trail,Ngangpo,,,Indonesia,Rupiah,Dollar,14,74.54,636.93,831.95,family,smartphone,Motorola,Pixel 4,10/12/2012,8/12/2020,true,5,3,9,19.51,Peso,high-value,false,false
39,Corny,Janota,40,cjanota12@samsung.com,324-386-4325,6059 American Crossing,Debar,,1250,Macedonia,Denar,Franc,7,33.6,825.9,963.94,family,feature phone,Motorola,Pixel 4,8/24/2016,11/16/2021,false,4,8,7,35.72,Rupiah,low-value,false,false
40,Claybourne,Brettor,42,cbrettor13@tinyurl.com,779-125-4814,01 Armistice Plaza,Galapa,,082007,Colombia,Peso,Zloty,12,91.32,79.77,729.71,prepaid,feature phone,Motorola,Pixel 4,10/12/2010,10/19/2021,false,5,7,10,22.55,Peso,medium-value,false,false
41,Tucky,Leuty,73,tleuty14@mit.edu,203-962-3039,70148 Duke Lane,Pedro Santana,,11705,Dominican Republic,Peso,Yen,15,72.67,652.68,605.32,family,feature phone,Motorola,Pixel 4,9/2/2016,11/3/2021,false,5,10,7,10.83,Dram,medium-value,false,false
42,Myles,Towler,81,mtowler15@vk.com,554-884-3937,27 Everett Trail,Pljevlja,,,Montenegro,Euro,Hryvnia,16,37.2,598.71,968.6,postpaid,feature phone,Google,V40 ThinQ,4/2/2016,4/3/2021,true,1,4,5,64.13,Euro,high-value,true,false
43,Mervin,Marwood,46,mmarwood16@mlb.com,977-701-9877,6 Springview Center,Darvi,,,Mongolia,Tugrik,Peso,24,64.75,545.96,852.38,prepaid,feature phone,Apple,V40 ThinQ,10/10/2015,8/3/2021,true,3,2,1,57.71,Tugrik,high-value,false,true
44,Luella,Vinter,35,lvinter17@google.ca,621-818-9325,43671 Myrtle Avenue,Göteborg,Västra Götaland,404 32,Sweden,Krona,Yuan Renminbi,10,70.76,375.05,939.89,postpaid,feature phone,Samsung,iPhone X,3/2/2010,5/23/2020,true,3,4,2,83.76,Euro,low-value,false,true
45,Nolly,Wearing,75,nwearing18@dyndns.org,238-998-3532,2729 Karstens Junction,Labuhan Deli,,,Indonesia,Rupiah,Yuan Renminbi,8,13.48,307.1,217.77,postpaid,tablet,Samsung,Pixel 4,5/3/2011,1/13/2021,true,3,6,10,4.98,Som,low-value,true,false
46,Alejandrina,Wooder,22,awooder19@va.gov,870-748-3273,3 Dayton Drive,Liliongan,,2616,Philippines,Peso,Zloty,4,13.94,696.14,218.7,postpaid,tablet,Motorola,V40 ThinQ,9/16/2016,7/16/2020,false,2,10,7,86.73,Peso,medium-value,false,false
47,Park,Cogley,21,pcogley1a@stumbleupon.com,289-913-7102,87 Cody Junction,Kobarid,,5222,Slovenia,Euro,Zloty,12,3.84,821.74,384.22,prepaid,smartphone,Apple,iPhone X,1/14/2010,12/22/2020,true,3,4,6,33.94,Yuan Renminbi,medium-value,false,false
48,Fayre,Tzuker,49,ftzuker1b@typepad.com,183-103-9676,0173 Holmberg Drive,Chongkan,,,China,Yuan Renminbi,Euro,13,49.15,476.54,981.84,family,smartphone,Google,Pixel 4,6/24/2017,4/8/2021,true,2,2,4,18.26,Rupiah,high-value,true,true
49,Berne,Hodgets,19,bhodgets1c@mozilla.org,980-536-9339,1 Katie Way,Chenzui,,,China,Yuan Renminbi,Ruble,23,64.0,67.32,516.8,family,feature phone,Google,V40 ThinQ,10/10/2019,1/29/2021,true,3,7,9,49.35,Euro,high-value,true,true
50,Ron,Duffell,47,rduffell1d@freewebs.com,155-249-2101,49 Aberg Park,Sidi Amar,,,Morocco,Dirham,Dollar,7,51.8,847.36,289.96,family,tablet,Google,Galaxy S10,6/26/2021,6/21/2021,false,1,1,8,3.58,Lek,low-value,false,false
51,Idette,Furmenger,65,ifurmenger1e@pen.io,638-762-6062,3062 Barby Drive,Shorko,,29051,Pakistan,Rupee,Balboa,13,48.38,80.63,390.74,family,feature phone,Google,Pixel 4,2/18/2019,8/27/2021,false,1,4,5,79.77,Yuan Renminbi,high-value,false,true
52,Suki,Stapley,40,sstapley1f@stanford.edu,418-442-8981,653 Barnett Hill,Węgry,,46-022,Poland,Zloty,Peso,22,40.72,195.11,925.12,postpaid,tablet,Samsung,V40 ThinQ,5/28/2014,12/5/2021,true,5,4,5,86.53,Euro,high-value,false,true
53,Evita,Ponder,27,eponder1g@meetup.com,486-372-6761,85 Gulseth Center,Colonia Elisa,,3515,Argentina,Peso,Peso,23,61.15,432.33,31.41,prepaid,smartphone,Apple,V40 ThinQ,8/7/2013,6/13/2021,false,5,4,6,56.05,Manat,medium-value,false,false
54,Elane,Hendricks,50,ehendricks1h@bigcartel.com,365-670-5463,35 Continental Plaza,Xianshuigu,,,China,Yuan Renminbi,Krona,4,84.59,63.07,122.42,family,tablet,Google,Pixel 4,5/7/2010,4/23/2021,false,2,4,8,89.43,Dollar,high-value,true,false
55,Tanhya,Price,23,tprice1i@icq.com,464-475-8173,97 Nobel Circle,Duobagou,,,China,Yuan Renminbi,Hryvnia,22,9.76,605.65,383.23,prepaid,feature phone,Google,V40 ThinQ,3/13/2013,3/30/2020,false,5,0,4,43.28,Ruble,low-value,false,false
56,Katie,Fulcher,19,kfulcher1j@zimbio.com,280-842-2905,0027 Derek Pass,Caldelas,Leiria,2420-055,Portugal,Euro,Rial,15,68.06,792.28,787.34,postpaid,feature phone,Samsung,Galaxy S10,8/13/2011,8/18/2021,false,4,2,1,64.29,Baht,medium-value,false,true
57,Agnesse,Gudd,84,agudd1k@xrea.com,366-640-9858,3 1st Hill,Pedro Leopoldo,,33600-000,Brazil,Real,Euro,5,15.72,121.87,721.94,prepaid,feature phone,Motorola,iPhone X,11/29/2015,5/31/2021,true,3,8,1,74.48,Peso,low-value,true,true
58,Andria,Dash,24,adash1l@macromedia.com,969-754-0737,34 Kenwood Hill,Timezgadiouine,,,Morocco,Dirham,Koruna,6,93.79,683.41,40.44,family,feature phone,Samsung,Galaxy S10,11/22/2010,9/21/2020,false,5,4,5,66.81,Krona,low-value,true,true
59,Jeramey,Wildbore,62,jwildbore1m@google.cn,173-487-8382,3685 Browning Point,El Dividive,,,Venezuela,Bolivar,Koruna,21,68.42,491.54,694.97,family,feature phone,Samsung,iPhone X,7/25/2020,9/21/2020,true,5,10,2,81.53,Ruble,medium-value,true,false
60,Mervin,Matejovsky,40,mmatejovsky1n@fotki.com,985-760-6970,932 Columbus Parkway,Pryyutivka,,,Ukraine,Hryvnia,Ruble,3,87.77,787.89,850.02,postpaid,smartphone,LG,Pixel 4,9/23/2020,1/22/2020,false,4,1,8,32.48,Dalasi,high-value,true,true
61,Grace,De Bell,59,gdebell1o@redcross.org,883-912-3575,95 Pond Park,Mahébourg,,,Mauritius,Rupee,Euro,4,71.19,644.63,572.03,prepaid,smartphone,Samsung,Pixel 4,12/17/2010,12/27/2021,true,4,0,8,17.95,Dirham,medium-value,false,true
62,Kathryn,Carmont,36,kcarmont1p@ebay.com,678-658-2964,3 Maywood Circle,Mętków,,32-503,Poland,Zloty,Euro,20,29.25,568.86,692.1,postpaid,feature phone,Motorola,Galaxy S10,7/15/2013,11/28/2021,true,5,3,8,31.82,Rupiah,low-value,false,true
63,Mathilda,Mertgen,21,mmertgen1q@sina.com.cn,892-937-8389,821 Old Gate Junction,Vavatenina,,,Madagascar,Ariary,Zloty,17,56.52,345.44,918.79,postpaid,feature phone,Samsung,iPhone X,6/22/2016,6/14/2020,true,3,8,3,31.85,Yuan Renminbi,medium-value,true,true
64,Harlin,Joannic,24,hjoannic1r@ning.com,473-778-5302,5 Warbler Plaza,Lattes,Languedoc-Roussillon,34975 CEDEX,France,Euro,Sol,6,39.41,559.9,105.24,prepaid,smartphone,LG,Galaxy S10,11/2/2017,1/26/2020,true,2,4,4,67.7,Ringgit,medium-value,true,false
65,Korie,MacCambridge,81,kmaccambridge1s@globo.com,122-413-4009,448 Hovde Crossing,Gadzhiyevo,,623075,Russia,Ruble,Marka,2,18.84,877.68,17.12,family,smartphone,LG,Pixel 4,6/16/2019,8/10/2020,false,3,0,1,62.02,Euro,high-value,true,false
66,Zedekiah,Seine,40,zseine1t@fotki.com,783-202-6450,6 Luster Center,Ziketan,,,China,Yuan Renminbi,Dollar,18,63.86,251.65,846.93,postpaid,feature phone,Samsung,iPhone X,2/6/2010,7/25/2021,true,4,1,8,41.67,Yuan Renminbi,low-value,false,true
67,Brenna,Norster,65,bnorster1u@nih.gov,450-186-5110,053 Cody Pass,Saint-Jean-de-Védas,Languedoc-Roussillon,34435 CEDEX,France,Euro,Rupiah,5,67.01,600.12,27.46,family,smartphone,Motorola,V40 ThinQ,12/3/2018,11/18/2021,true,1,3,7,19.23,Zloty,medium-value,false,false
68,Eddie,Lottrington,23,elottrington1v@skype.com,360-415-4100,6 Magdeline Park,Sarimukti Kaler,,,Indonesia,Rupiah,Euro,7,93.83,729.13,899.08,prepaid,feature phone,Samsung,iPhone X,6/28/2012,6/27/2021,false,4,0,6,29.09,Pound,high-value,true,true
69,Lynn,De Ath,81,ldeath1w@google.fr,584-507-2205,454 Truax Center,Santa Lucia,,2712,Philippines,Peso,Koruna,7,62.02,110.77,231.53,family,feature phone,Samsung,iPhone X,8/9/2014,1/12/2021,true,4,4,1,72.12,Tenge,medium-value,true,true
70,Kamilah,Tuxwell,51,ktuxwell1x@friendfeed.com,138-411-0560,081 Merchant Trail,Ballyjamesduff,,A84,Ireland,Euro,Shilling,13,3.14,447.86,380.1,family,feature phone,Apple,Pixel 4,1/2/2015,7/24/2021,true,1,3,1,67.68,Peso,medium-value,false,true
71,Codi,Roussel,63,croussel1y@trellian.com,585-453-3374,07 Rowland Drive,Šavnik,,,Montenegro,Euro,Lev,16,42.7,577.92,801.37,family,smartphone,Motorola,Pixel 4,2/23/2014,9/5/2021,false,1,0,1,80.36,Yuan Renminbi,medium-value,true,false
72,Derek,Mackin,34,dmackin1z@ifeng.com,911-654-5202,9594 Bashford Alley,Henghe,,,China,Yuan Renminbi,Euro,4,81.91,418.73,219.56,prepaid,feature phone,LG,Pixel 4,4/29/2018,8/6/2020,true,1,0,4,75.58,Rupiah,high-value,true,false
73,Port,Irdale,41,pirdale20@icio.us,930-631-8032,01 Gina Point,Nagoya-shi,,486-0969,Japan,Yen,Yuan Renminbi,13,50.45,288.84,842.69,family,smartphone,Motorola,V40 ThinQ,8/5/2017,5/9/2020,true,3,2,7,72.47,Euro,low-value,false,false
74,Lindy,Port,25,lport21@ca.gov,706-647-6205,1 Fallview Place,Banjar Kertasari,,,Indonesia,Rupiah,Rial,11,37.1,680.13,927.54,prepaid,smartphone,LG,Pixel 4,5/8/2018,10/13/2020,true,4,4,8,25.11,Hryvnia,high-value,true,true
75,Valenka,Gallaway,83,vgallaway22@fema.gov,380-408-3170,8 Golden Leaf Center,Gazimurskiy Zavod,,102213,Russia,Ruble,Euro,24,29.98,278.22,190.67,postpaid,smartphone,Apple,Pixel 4,10/31/2011,10/21/2021,true,4,0,2,1.77,Guarani,medium-value,false,false
76,Norbie,Christophersen,57,nchristophersen23@gnu.org,169-411-1721,108 Melvin Point,Stenungsund,Västra Götaland,444 24,Sweden,Krona,Dollar,11,19.89,941.37,629.97,family,tablet,Samsung,Pixel 4,7/5/2020,5/23/2020,false,5,4,3,0.46,Naira,high-value,true,false
77,Willey,Dacke,73,wdacke24@cocolog-nifty.com,605-346-6694,160 Heath Road,Meishan,,,China,Yuan Renminbi,Peso,15,34.65,403.87,428.45,prepaid,feature phone,Apple,Galaxy S10,2/8/2016,3/31/2021,false,5,5,8,68.73,Real,medium-value,false,false
78,Emili,Nerval,67,enerval25@squarespace.com,384-442-2287,256 Pearson Place,La Suiza,,30502,Costa Rica,Colon,Real,23,26.56,12.25,152.44,family,tablet,Google,Galaxy S10,6/27/2018,5/3/2020,false,5,2,4,44.3,Yuan Renminbi,high-value,true,false
79,Petronia,Burel,81,pburel26@spotify.com,645-247-9588,4 Carioca Court,Tanahwangko,,,Indonesia,Rupiah,Dollar,16,49.61,880.43,543.08,prepaid,tablet,Google,Pixel 4,4/10/2014,7/18/2021,false,4,9,10,35.25,Leone,high-value,true,false
80,Clay,Inkin,56,cinkin27@trellian.com,558-435-8345,573 Bluestem Hill,Kornyn,,,Ukraine,Hryvnia,Peso,10,8.6,4.47,100.92,postpaid,smartphone,Samsung,V40 ThinQ,2/9/2018,12/7/2021,false,1,3,4,31.19,Lempira,high-value,false,false
81,Tad,Canto,59,tcanto28@boston.com,680-620-4823,2709 Mosinee Trail,Malishka,,,Armenia,Dram,Real,24,52.25,591.71,800.94,prepaid,feature phone,LG,Galaxy S10,5/15/2018,7/20/2020,false,4,8,9,23.17,Franc,high-value,true,false
82,Bess,Rase,73,brase29@sciencedaily.com,726-940-7039,15 Helena Lane,Moriya,,962-0305,Japan,Yen,Dollar,14,30.99,585.08,441.19,prepaid,feature phone,LG,Pixel 4,7/17/2017,12/13/2021,true,4,4,9,37.17,Rupiah,medium-value,false,true
83,Melosa,Merington,30,mmerington2a@a8.net,400-978-2608,717 Anthes Trail,Lambangan Kulon,,,Indonesia,Rupiah,Yuan Renminbi,4,90.26,208.71,98.8,family,feature phone,Apple,Galaxy S10,6/29/2011,1/23/2021,true,5,5,5,35.59,Peso,low-value,false,true
84,Kareem,Carillo,37,kcarillo2b@dailymail.co.uk,406-499-3748,1 Roxbury Parkway,Dongshandi,,,China,Yuan Renminbi,Yuan Renminbi,4,11.0,907.42,544.39,prepaid,feature phone,LG,Pixel 4,1/24/2014,1/17/2020,false,2,1,3,60.21,Rupiah,low-value,false,false
85,Kaitlin,Brimblecombe,46,kbrimblecombe2c@spotify.com,840-318-5954,78954 Westridge Junction,Vrbovec,,671 24,Czech Republic,Koruna,Franc,18,88.0,372.15,789.42,postpaid,tablet,Apple,iPhone X,11/29/2013,5/6/2021,true,5,10,6,21.71,Naira,high-value,false,true
86,Carilyn,Collelton,78,ccollelton2d@buzzfeed.com,165-848-7990,3263 Bartelt Alley,Sumurnanjung,,,Indonesia,Rupiah,Krona,17,66.8,583.25,729.42,prepaid,tablet,Motorola,V40 ThinQ,12/19/2017,4/19/2021,false,2,2,4,45.62,Yuan Renminbi,high-value,true,false
87,Danica,Erdes,77,derdes2e@newyorker.com,735-497-2215,402 Anthes Park,Paradahan,,4114,Philippines,Peso,Ruble,23,42.25,539.83,613.2,family,feature phone,Google,V40 ThinQ,8/21/2020,3/11/2021,false,2,0,7,43.41,Dinar,high-value,false,false
88,Wren,Castel,39,wcastel2f@time.com,620-397-0366,66 Ilene Terrace,Budapest,Budapest,1122,Hungary,Forint,Euro,15,38.09,21.55,512.74,family,feature phone,Samsung,Galaxy S10,7/12/2013,12/12/2021,false,2,10,1,49.72,Euro,high-value,false,false
89,Nate,Aireton,27,naireton2g@constantcontact.com,483-305-4750,7641 Drewry Parkway,Dahewan,,,China,Yuan Renminbi,Euro,4,7.27,735.72,369.77,prepaid,feature phone,Google,Galaxy S10,7/23/2020,3/2/2021,true,1,10,4,47.89,Dinar,low-value,false,false
90,Millie,Dresse,76,mdresse2h@devhub.com,648-317-8290,76 Linden Junction,Dayong,,,China,Yuan Renminbi,Dong,10,12.48,988.61,843.29,postpaid,tablet,LG,Galaxy S10,1/10/2021,4/23/2021,true,2,8,6,41.2,Ruble,medium-value,false,false
91,Eleanore,Huske,73,ehuske2i@example.com,236-880-3273,046 Monterey Drive,Weda,,,Indonesia,Rupiah,Yuan Renminbi,12,41.78,4.86,929.76,prepaid,feature phone,Motorola,Pixel 4,12/29/2013,5/8/2021,false,5,8,1,71.94,Peso,medium-value,false,false
92,Alvina,De Meyer,75,ademeyer2j@amazon.co.jp,115-273-8426,5908 Delladonna Pass,Helin,,,China,Yuan Renminbi,Peso,3,68.77,44.17,959.34,family,tablet,Motorola,Pixel 4,11/7/2017,1/31/2020,false,4,1,1,62.02,Euro,high-value,false,false
93,Carlyle,McFarlan,84,cmcfarlan2k@dot.gov,141-694-8319,072 Marquette Park,Liwale,,,Tanzania,Shilling,Yuan Renminbi,11,23.73,743.9,860.11,postpaid,smartphone,Google,Galaxy S10,3/17/2016,2/22/2021,true,3,5,5,10.06,Yuan Renminbi,medium-value,true,true
